filename,base_epsilon,compression_ratio_base_only,compression_ratio,compression_time,decompression_time,rmse,inference_time,dataset,dimension,model,preprocessing,window_length,cycles,batch_size,split,compressed
HouseholdPowerConsumption1_TEST_dim0_MEAN_e0_eb32.0_decompressed.csv,32.0,374606.4871794872,14.682551870034722,1446.0,1341.0,16.13812255859375,26.035864699981172,HouseholdPowerConsumption1,0,InceptionTime,MEAN,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_MEAN_e0_eb4.0_decompressed.csv,4.0,722.2490112715049,5.517107214931361,1681.0,1362.0,3.2663835141506232,28.21288010000717,HouseholdPowerConsumption1,0,InceptionTime,MEAN,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_MEAN_e0_eb8.0_decompressed.csv,8.0,5242.071402942232,6.465469545410492,1683.0,1744.0,2.809165066566366,27.60468680004124,HouseholdPowerConsumption1,0,InceptionTime,MEAN,100,50,16,test,True
data/HouseholdPowerConsumption1_TRAIN_dim0_INTERPOLATION.csv,,,,,,3.025521993637085,312.64026420004666,HouseholdPowerConsumption1,0,MLP,INTERPOLATION,100,50,16,train,False
data/HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION.csv,0.0,1.0,1.0,0.0,0.0,3.5816360459173078,1.092931400053203,HouseholdPowerConsumption1,0,MLP,INTERPOLATION,100,50,16,test,False
HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION_e0_eb16.0_decompressed.csv,16.0,233817.8095238096,13.24893351213813,1400.0,1131.0,1.0031283331719267,1.0902452000882477,HouseholdPowerConsumption1,0,MLP,INTERPOLATION,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION_e0_eb32.0_decompressed.csv,32.0,377705.6923076923,13.939075246574731,1273.0,1361.0,16.319381713867188,1.0806021000025794,HouseholdPowerConsumption1,0,MLP,INTERPOLATION,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION_e0_eb4.0_decompressed.csv,4.0,735.0559880239521,5.433146997379789,1653.0,1461.0,3.311690494591702,1.08386180002708,HouseholdPowerConsumption1,0,MLP,INTERPOLATION,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION_e0_eb8.0_decompressed.csv,8.0,5306.384005763689,6.364781064475151,1641.0,1677.0,2.8981493631469504,1.0104850000934675,HouseholdPowerConsumption1,0,MLP,INTERPOLATION,100,50,16,test,True
data/HouseholdPowerConsumption1_TRAIN_dim0_KNN.csv,,,,,,3.1117188930511475,263.097005299991,HouseholdPowerConsumption1,0,MLP,KNN,100,50,16,train,False
data/HouseholdPowerConsumption1_TEST_dim0_KNN.csv,0.0,1.0,1.0,0.0,0.0,3.6850969963863274,0.9196489999303594,HouseholdPowerConsumption1,0,MLP,KNN,100,50,16,test,False
HouseholdPowerConsumption1_TEST_dim0_KNN_e0_eb16.0_decompressed.csv,16.0,233713.2063492064,13.99854157416818,1310.0,1162.0,1.0924026232990198,0.885216600028798,HouseholdPowerConsumption1,0,MLP,KNN,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_KNN_e0_eb32.0_decompressed.csv,32.0,377536.71794871794,14.796330444866731,1424.0,1512.0,16.514175415039062,0.8818645999999717,HouseholdPowerConsumption1,0,MLP,KNN,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_KNN_e0_eb4.0_decompressed.csv,4.0,734.9105066134265,5.4786010228704,1687.0,1694.0,3.403134294422673,0.9319468999747188,HouseholdPowerConsumption1,0,MLP,KNN,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_KNN_e0_eb8.0_decompressed.csv,8.0,5304.010086455332,6.476020492538732,1446.0,1609.0,2.9857546450374666,0.8791212999494746,HouseholdPowerConsumption1,0,MLP,KNN,100,50,16,test,True
data/HouseholdPowerConsumption1_TRAIN_dim1_INTERPOLATION.csv,,,,,,3.4445009231567383,619.8258695999975,HouseholdPowerConsumption1,1,FCN,INTERPOLATION,100,50,16,train,False
